
🎨CMD,#genre#
虎牙音乐,http://epg.112114.xyz/huya/20432223
音乐石榴,http://epg.112114.xyz/huya/17091681
民谣经典,http://epg.112114.xyz/huya/21241831
经典好歌,http://epg.112114.xyz/huya/20616876
热门音乐,http://epg.112114.xyz/douyu/3870925
音乐演唱会,http://epg.112114.xyz/douyu/7537296
七师傅韩歌轮播,http://epg.112114.xyz/douyu/17732
音乐快斗,http://epg.112114.xyz/douyu/8324627
Apink音乐,http://epg.112114.xyz/douyu/123351
航拍音乐,http://epg.112114.xyz/douyu/58202844
下饭音乐,http://epg.112114.xyz/douyu/8661966
纯音乐1,http://epg.112114.xyz/douyu/4904136
纯音乐2,http://epg.112114.xyz/douyu/9262938
纯音乐3,http://epg.112114.xyz/douyu/2602291
纯音乐4,http://epg.112114.xyz/douyu/7468709
纯音乐5,http://epg.112114.xyz/douyu/9970646
2021年度音乐,http://epg.112114.xyz/douyu/10469362
网红神曲,http://epg.112114.xyz/douyu/956809
音乐Wu哥,http://epg.112114.xyz/douyu/8667755
音乐猛抬头,http://epg.112114.xyz/douyu/8666105
竹叶MV点播,http://epg.112114.xyz/douyu/3870925
dgMV点播,http://epg.112114.xyz/douyu/3186217
热门音乐,http://epg.112114.xyz/douyu/3870925
钢琴1,http://epg.112114.xyz/douyu/24791
钢琴2,http://epg.112114.xyz/douyu/9642241
武林外传,http://epg.112114.xyz/huya/21059589
龙门,http://epg.112114.xyz/huya/11352874
医馆笑传,http://epg.112114.xyz/huya/11352891
岳云鹏相声,http://epg.112114.xyz/huya/11342437
今晚80后脱口秀,http://epg.112114.xyz/huya/11352961
绝地求生1,http://epg.112114.xyz/douyu/3652542
绝地求生2,http://epg.112114.xyz/douyu/3652542
绝地求生3,http://epg.112114.xyz/huya/21843316
仙剑七1,http://epg.112114.xyz/huya/25875604
仙剑七2,http://epg.112114.xyz/huya/23783156
和平精英1,http://epg.112114.xyz/huya/11650231
和平精英2,http://epg.112114.xyz/huya/14433649
和平精英3,http://epg.112114.xyz/huya/326127
王者荣耀1,http://epg.112114.xyz/huya/147350
王者荣耀2,http://epg.112114.xyz/huya/774810
王者荣耀3,http://epg.112114.xyz/douyu/1863767
穿越火线1,http://epg.112114.xyz/douyu/8542577
穿越火线2,http://epg.112114.xyz/douyu/605964
厚大法考,http://315600.xyz/jk/dl/douyu.php?id=8805
TED超级演讲家,http://epg.112114.xyz/douyu/9496384
看宇宙,http://315600.xyz/jk/dl/douyu.php?id=9412981
FTV,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
ftv2,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
hdfashion,http://95.67.47.115/hls/hdfashion_ua_hi/index.m3u8
imodeTV,http://player2.juyun.tv/camera/80238159.m3u8
时尚,http://125.210.152.21:9120/live/FSYY.m3u8
高清娱乐,http://125.210.152.21:9120/live/GQYL.m3u8
Korean Song,http://live.kytv.co.kr:8080/hls/stream.m3u8
K-Pop,https://srv1.zcast.com.br/kpoptv/kpoptv/.m3u8
经典小品相声乐不停,http://epg.112114.xyz/douyu/9273031
经典小品，下饭必备,http://epg.112114.xyz/douyu/9067836
小品上新,http://epg.112114.xyz/douyu/1486165
科普公开课,http://epg.112114.xyz/douyu/9498354
打开宇宙的未知,http://epg.112114.xyz/douyu/9385288
吐槽,http://epg.112114.xyz/douyu/9236042
哈里波特,http://epg.112114.xyz/douyu/8814650
科学黑历史,http://epg.112114.xyz/douyu/9317739
cm1,http://epg.112114.xyz/douyu/427397
cm2,http://epg.112114.xyz/douyu/1360303
cm3,http://epg.112114.xyz/douyu/3045719
cm4,http://epg.112114.xyz/douyu/6148650
cm5,http://epg.112114.xyz/douyu/7227756
cm6,http://epg.112114.xyz/douyu/9676056
cm7,http://epg.112114.xyz/douyu/9679105
cm8,http://epg.112114.xyz/douyu/9719586
cm9,http://epg.112114.xyz/douyu/9751418
cm10,http://epg.112114.xyz/douyu/11062801
cm11,http://epg.112114.xyz/douyu/9805480
cm12,http://epg.112114.xyz/douyu/9837104
cm15,http://epg.112114.xyz/douyu/10118209
cm18,http://epg.112114.xyz/douyu/6146690
cm19,http://epg.112114.xyz/douyu/214827
cm20,hhttp://epg.112114.xyz/douyu/9644330
cm22,http://epg.112114.xyz/douyu/10206781
nt2,http://epg.112114.xyz/douyu/329667
nt1,http://epg.112114.xyz/douyu/11436664
cm3e,http://epg.112114.xyz/douyu/5526740
cm5e,http://epg.112114.xyz/douyu/9352559
cm10e,http://epg.112114.xyz/douyu/9770449
cm13e,http://epg.112114.xyz/douyu/10018770
cm14e,http://epg.112114.xyz/douyu/10025698
cm16e,http://epg.112114.xyz/huya/24271955
cm17e,http://epg.112114.xyz/douyu/9213072
cm20e,http://epg.112114.xyz/douyu/10746386
cm21e,http://epg.112114.xyz/douyu/9650608
nt1e,http://epg.112114.xyz/douyu/231464
nt3,http://epg.112114.xyz/douyu/3377456
nt4,http://epg.112114.xyz/douyu/8017332
nt5,http://epg.112114.xyz/douyu/8759139
nt6,http://epg.112114.xyz/douyu/9229756
nt7,http://epg.112114.xyz/douyu/9827333
nt8,http://epg.112114.xyz/douyu/9861462
nt9,http://epg.112114.xyz/douyu/10277285
UP主最新视频合集,http://epg.112114.xyz/douyu/10074407
阿杜游中国的直播间,http://epg.112114.xyz/douyu/9474441
狄仁杰,http://epg.112114.xyz/douyu/674441
